tactic,rule_name,title,rule_id,status,level,path,tags,techniques
defense-evasion,proc_creation_win_susp_execution_from_public_folder_as_parent,Potentially Suspicious Execution From Parent Process In Public Folder,69bd9b97-2be2-41b6-9816-fb08757a4d1a,test,high,rules/proc_creation_win_susp_execution_from_public_folder_as_parent.yml,attack.defense-evasion; attack.execution; attack.t1059; attack.t1564,attack.t1059; attack.t1564
defense-evasion,proc_creation_win_susp_hidden_dir_index_allocation,Potential Hidden Directory Creation Via NTFS INDEX_ALLOCATION Stream - CLI,0900463c-b33b-49a8-be1d-552a3b553dae,test,medium,rules/proc_creation_win_susp_hidden_dir_index_allocation.yml,attack.defense-evasion; attack.t1564.004,attack.t1564.004
defense-evasion,proc_creation_win_susp_hiding_malware_in_fonts_folder,Writing Of Malicious Files To The Fonts Folder,ae9b0bd7-8888-4606-b444-0ed7410cb728,test,medium,rules/proc_creation_win_susp_hiding_malware_in_fonts_folder.yml,attack.defense-evasion; attack.execution; attack.persistence; attack.t1059; attack.t1211,attack.t1059; attack.t1211
defense-evasion,proc_creation_win_susp_homoglyph_cyrillic_lookalikes,Potential Homoglyph Attack Using Lookalike Characters,32e280f1-8ad4-46ef-9e80-910657611fbc,test,medium,rules/proc_creation_win_susp_homoglyph_cyrillic_lookalikes.yml,attack.defense-evasion; attack.t1036; attack.t1036.003,attack.t1036; attack.t1036.003
defense-evasion,proc_creation_win_susp_image_missing,Execution Of Non-Existing File,71158e3f-df67-472b-930e-7d287acaa3e1,test,high,rules/proc_creation_win_susp_image_missing.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_ms_appinstaller_download,Potential File Download Via MS-AppInstaller Protocol Handler,180c7c5c-d64b-4a63-86e9-68910451bc8b,test,medium,rules/proc_creation_win_susp_ms_appinstaller_download.yml,attack.defense-evasion; attack.execution; attack.t1218,attack.t1218
defense-evasion,proc_creation_win_susp_non_priv_reg_or_ps,Non-privileged Usage of Reg or Powershell,8f02c935-effe-45b3-8fc9-ef8696a9e41d,test,high,rules/proc_creation_win_susp_non_priv_reg_or_ps.yml,attack.defense-evasion; attack.t1112,attack.t1112
defense-evasion,proc_creation_win_susp_nteventlogfile_usage,Potentially Suspicious Call To Win32_NTEventlogFile Class,caf201a9-c2ce-4a26-9c3a-2b9525413711,test,high,rules/proc_creation_win_susp_nteventlogfile_usage.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_ntfs_short_name_path_use_cli,Use Short Name Path in Command Line,349d891d-fef0-4fe4-bc53-eee623a15969,test,medium,rules/proc_creation_win_susp_ntfs_short_name_path_use_cli.yml,attack.defense-evasion; attack.t1564.004,attack.t1564.004
defense-evasion,proc_creation_win_susp_ntfs_short_name_use_cli,Use NTFS Short Name in Command Line,dd6b39d9-d9be-4a3b-8fe0-fe3c6a5c1795,test,medium,rules/proc_creation_win_susp_ntfs_short_name_use_cli.yml,attack.defense-evasion; attack.t1564.004,attack.t1564.004
defense-evasion,proc_creation_win_susp_powershell_execution_via_dll,Potential PowerShell Execution Via DLL,6812a10b-60ea-420c-832f-dfcc33b646ba,test,high,rules/proc_creation_win_susp_powershell_execution_via_dll.yml,attack.defense-evasion; attack.t1218.011,attack.t1218.011
defense-evasion,proc_creation_win_susp_right_to_left_override,Potential Defense Evasion Via Right-to-Left Override,ad691d92-15f2-4181-9aa4-723c74f9ddc3,test,high,rules/proc_creation_win_susp_right_to_left_override.yml,attack.defense-evasion; attack.t1036.002,attack.t1036.002
defense-evasion,proc_creation_win_susp_service_tamper,Suspicious Windows Service Tampering,ce72ef99-22f1-43d4-8695-419dcb5d9330,test,high,rules/proc_creation_win_susp_service_tamper.yml,attack.defense-evasion; attack.impact; attack.t1489; attack.t1562.001,attack.t1489; attack.t1562.001
